X Y Z F real imag
4.99938 0.0785366 0 6.39306 -3.98393 -4.99995
4.99445 0.235532 0 6.38942 -4.04547 -4.9456
4.98459 0.392295 0 6.38446 -4.16655 -4.83748
4.9698 0.548672 0 6.38251 -4.34327 -4.67679
4.95012 0.704506 0 6.38927 -4.5699 -4.46529
4.92555 0.859646 0 6.41099 -4.83901 -4.20532
4.89611 1.01394 0 6.45337 -5.14174 -3.8998
4.86185 1.16723 0 6.52049 -5.46797 -3.5522
4.82279 1.31937 0 6.6139 -5.80662 -3.16652
4.77897 1.4702 0 6.73204 -6.14596 -2.74728
4.73043 1.61959 0 6.87014 -6.47388 -2.29949
4.67722 1.76737 0 7.02061 -6.77829 -1.82859
4.6194 1.91342 0 7.17373 -7.04738 -1.34043
4.55702 2.05757 0 7.31847 -7.26997 -0.841187
4.49014 2.1997 0 7.44347 -7.43582 -0.337337
4.41883 2.33965 0 7.5377 -7.53591 0.164451
4.34316 2.47729 0 7.59121 -7.56269 0.657391
4.2632 2.61249 0 7.59555 -7.51032 1.13467
4.17904 2.74511 0 7.5442 -7.37483 1.58958
4.09075 2.87503 0 7.43275 -7.15424 2.01559
3.99842 3.0021 0 7.25918 -6.84868 2.40651
3.90215 3.12621 0 7.02392 -6.46038 2.75661
3.80203 3.24724 0 6.72994 -5.99365 3.06076
3.69816 3.36506 0 6.38287 -5.45479 3.31456
3.59063 3.47956 0 5.99107 -4.85197 3.51445
3.47956 3.59063 0 5.5658 -4.19501 3.65788
3.36506 3.69816 0 5.1214 -3.49513 3.74337
3.24724 3.80203 0 4.67559 -2.76467 3.77065
3.12621 3.90215 0 4.24967 -2.01674 3.74065
3.0021 3.99842 0 3.86825 -1.26488 3.6556
2.87503 4.09075 0 3.55759 -0.52265 3.51899
2.74511 4.17904 0 3.34129 0.196744 3.33549
2.61249 4.2632 0 3.23322 0.880843 3.11092
2.47729 4.34316 0 3.231 1.5183 2.85204
2.33965 4.41883 0 3.31559 2.09922 2.5664
2.1997 4.49014 0 3.45797 2.61542 2.26211
2.05757 4.55702 0 3.6278 3.06071 1.94755
1.91342 4.6194 0 3.79897 3.43099 1.63111
1.76737 4.67722 0 3.95162 3.72432 1.32087
1.61959 4.73043 0 4.07192 3.94098 1.0243
1.4702 4.77897 0 4.15122 4.08327 0.748005
1.31937 4.82279 0 4.18506 4.1554 0.49742
1.16723 4.86185 0 4.17238 4.1632 0.27665
1.01394 4.89611 0 4.11475 4.11381 0.0883031
0.859646 4.92555 0 4.01584 4.01529 -0.0665826
0.704506 4.95012 0 3.88082 3.87624 -0.188537
0.548672 4.9698 0 3.71593 3.7054 -0.279578
0.392295 4.98459 0 3.52795 3.51123 -0.343061
0.235532 4.99445 0 3.32376 3.30157 -0.383446
0.0785366 4.99938 0 3.10995 3.08333 -0.406023
-0.0785366 4.99938 0 2.89241 2.86225 -0.416584
-0.235532 4.99445 0 2.67608 2.64274 -0.421079
-0.392295 4.98459 0 2.46478 2.42781 -0.425265
-0.548672 4.9698 0 2.26119 2.21908 -0.434378
-0.704506 4.95012 0 2.06707 2.01686 -0.452836
-0.859646 4.92555 0 1.88358 1.82034 -0.483996
-1.01394 4.89611 0 1.71186 1.62776 -0.529986
-1.16723 4.86185 0 1.55375 1.43671 -0.5916
-1.31937 4.82279 0 1.41249 1.2444 -0.66828
-1.4702 4.77897 0 1.29344 1.04793 -0.758174
-1.61959 4.73043 0 1.20411 0.844548 -0.858263
-1.76737 4.67722 0 1.15311 0.631902 -0.964549
-1.91342 4.6194 0 1.14737 0.408218 -1.07229
-2.05757 4.55702 0 1.18885 0.172438 -1.17628
-2.1997 4.49014 0 1.27334 -0.0756997 -1.27109
-2.33965 4.41883 0 1.39247 -0.335641 -1.35141
-2.47729 4.34316 0 1.53679 -0.606049 -1.41225
-2.61249 4.2632 0 1.69799 -0.88488 -1.44919
-2.74511 4.17904 0 1.86956 -1.16951 -1.4586
-2.87503 4.09075 0 2.04683 -1.45687 -1.43772
-3.0021 3.99842 0 2.22663 -1.74363 -1.38479
-3.12621 3.90215 0 2.407 -2.02634 -1.29907
-3.24724 3.80203 0 2.58685 -2.30161 -1.18085
-3.36506 3.69816 0 2.76573 -2.56624 -1.03133
-3.47956 3.59063 0 2.94357 -2.81739 -0.85261
-3.59063 3.47956 0 3.12052 -3.05261 -0.647488
-3.69816 3.36506 0 3.29676 -3.26997 -0.419366
-3.80203 3.24724 0 3.47235 -3.46808 -0.172073
-3.90215 3.12621 0 3.6472 -3.64609 0.0902816
-3.99842 3.0021 0 3.82099 -3.80367 0.363468
-4.09075 2.87503 0 3.99316 -3.94101 0.643271
-4.17904 2.74511 0 4.16295 -4.05874 0.925611
-4.2632 2.61249 0 4.32941 -4.15785 1.20665
-4.34316 2.47729 0 4.4915 -4.23965 1.48288
-4.41883 2.33965 0 4.64815 -4.30566 1.75118
-4.49014 2.1997 0 4.79829 -4.35755 2.00882
-4.55702 2.05757 0 4.94092 -4.39707 2.25353
-4.6194 1.91342 0 5.07514 -4.42599 2.48348
-4.67722 1.76737 0 5.20021 -4.44602 2.69723
-4.73043 1.61959 0 5.31551 -4.4588 2.89375
-4.77897 1.4702 0 5.42061 -4.46584 3.07233
-4.82279 1.31937 0 5.51519 -4.46853 3.23257
-4.86185 1.16723 0 5.59907 -4.46808 3.3743
-4.89611 1.01394 0 5.67221 -4.46555 3.49754
-4.92555 0.859646 0 5.7346 -4.46184 3.60246
-4.95012 0.704506 0 5.78634 -4.45768 3.68929
-4.9698 0.548672 0 5.82753 -4.45368 3.7583
-4.98459 0.392295 0 5.85829 -4.45029 3.80978
-4.99445 0.235532 0 5.87872 -4.44785 3.84396
-4.99938 0.0785366 0 5.88892 -4.44658 3.861
-4.99938 -0.0785366 0 5.88892 -4.44658 3.861
-4.99445 -0.235532 0 5.87872 -4.44785 3.84396
-4.98459 -0.392295 0 5.85829 -4.45029 3.80978
-4.9698 -0.548672 0 5.82753 -4.45368 3.7583
-4.95012 -0.704506 0 5.78634 -4.45768 3.68929
-4.92555 -0.859646 0 5.7346 -4.46184 3.60246
-4.89611 -1.01394 0 5.67221 -4.46555 3.49754
-4.86185 -1.16723 0 5.59907 -4.46808 3.3743
-4.82279 -1.31937 0 5.51519 -4.46853 3.23257
-4.77897 -1.4702 0 5.42061 -4.46584 3.07233
-4.73043 -1.61959 0 5.31551 -4.4588 2.89375
-4.67722 -1.76737 0 5.20021 -4.44602 2.69723
-4.6194 -1.91342 0 5.07514 -4.42599 2.48348
-4.55702 -2.05757 0 4.94092 -4.39707 2.25353
-4.49014 -2.1997 0 4.79829 -4.35755 2.00882
-4.41883 -2.33965 0 4.64815 -4.30566 1.75118
-4.34316 -2.47729 0 4.4915 -4.23965 1.48288
-4.2632 -2.61249 0 4.32941 -4.15785 1.20665
-4.17904 -2.74511 0 4.16295 -4.05874 0.925611
-4.09075 -2.87503 0 3.99316 -3.94101 0.643271
-3.99842 -3.0021 0 3.82099 -3.80367 0.363468
-3.90215 -3.12621 0 3.6472 -3.64609 0.0902816
-3.80203 -3.24724 0 3.47235 -3.46808 -0.172073
-3.69816 -3.36506 0 3.29676 -3.26997 -0.419366
-3.59063 -3.47956 0 3.12052 -3.05261 -0.647488
-3.47956 -3.59063 0 2.94357 -2.81739 -0.85261
-3.36506 -3.69816 0 2.76573 -2.56624 -1.03133
-3.24724 -3.80203 0 2.58685 -2.30161 -1.18085
-3.12621 -3.90215 0 2.407 -2.02634 -1.29907
-3.0021 -3.99842 0 2.22663 -1.74363 -1.38479
-2.87503 -4.09075 0 2.04683 -1.45687 -1.43772
-2.74511 -4.17904 0 1.86956 -1.16951 -1.4586
-2.61249 -4.2632 0 1.69799 -0.88488 -1.44919
-2.47729 -4.34316 0 1.53679 -0.606049 -1.41225
-2.33965 -4.41883 0 1.39247 -0.335641 -1.35141
-2.1997 -4.49014 0 1.27334 -0.0756997 -1.27109
-2.05757 -4.55702 0 1.18885 0.172438 -1.17628
-1.91342 -4.6194 0 1.14737 0.408218 -1.07229
-1.76737 -4.67722 0 1.15311 0.631902 -0.964549
-1.61959 -4.73043 0 1.20411 0.844548 -0.858263
-1.4702 -4.77897 0 1.29344 1.04793 -0.758174
-1.31937 -4.82279 0 1.41249 1.2444 -0.66828
-1.16723 -4.86185 0 1.55375 1.43671 -0.5916
-1.01394 -4.89611 0 1.71186 1.62776 -0.529986
-0.859646 -4.92555 0 1.88358 1.82034 -0.483996
-0.704506 -4.95012 0 2.06707 2.01686 -0.452836
-0.548672 -4.9698 0 2.26119 2.21908 -0.434378
-0.392295 -4.98459 0 2.46478 2.42781 -0.425265
-0.235532 -4.99445 0 2.67608 2.64274 -0.421079
-0.0785366 -4.99938 0 2.89241 2.86225 -0.416584
0.0785366 -4.99938 0 3.10995 3.08333 -0.406023
0.235532 -4.99445 0 3.32376 3.30157 -0.383446
0.392295 -4.98459 0 3.52795 3.51123 -0.343061
0.548672 -4.9698 0 3.71593 3.7054 -0.279578
0.704506 -4.95012 0 3.88082 3.87624 -0.188537
0.859646 -4.92555 0 4.01584 4.01529 -0.0665826
1.01394 -4.89611 0 4.11475 4.11381 0.0883031
1.16723 -4.86185 0 4.17238 4.1632 0.27665
1.31937 -4.82279 0 4.18506 4.1554 0.49742
1.4702 -4.77897 0 4.15122 4.08327 0.748005
1.61959 -4.73043 0 4.07192 3.94098 1.0243
1.76737 -4.67722 0 3.95162 3.72432 1.32087
1.91342 -4.6194 0 3.79897 3.43099 1.63111
2.05757 -4.55702 0 3.6278 3.06071 1.94755
2.1997 -4.49014 0 3.45797 2.61542 2.26211
2.33965 -4.41883 0 3.31559 2.09922 2.5664
2.47729 -4.34316 0 3.231 1.5183 2.85204
2.61249 -4.2632 0 3.23322 0.880843 3.11092
2.74511 -4.17904 0 3.34129 0.196744 3.33549
2.87503 -4.09075 0 3.55759 -0.52265 3.51899
3.0021 -3.99842 0 3.86825 -1.26488 3.6556
3.12621 -3.90215 0 4.24967 -2.01674 3.74065
3.24724 -3.80203 0 4.67559 -2.76467 3.77065
3.36506 -3.69816 0 5.1214 -3.49513 3.74337
3.47956 -3.59063 0 5.5658 -4.19501 3.65788
3.59063 -3.47956 0 5.99107 -4.85197 3.51445
3.69816 -3.36506 0 6.38287 -5.45479 3.31456
3.80203 -3.24724 0 6.72994 -5.99365 3.06076
3.90215 -3.12621 0 7.02392 -6.46038 2.75661
3.99842 -3.0021 0 7.25918 -6.84868 2.40651
4.09075 -2.87503 0 7.43275 -7.15424 2.01559
4.17904 -2.74511 0 7.5442 -7.37483 1.58958
4.2632 -2.61249 0 7.59555 -7.51032 1.13467
4.34316 -2.47729 0 7.59121 -7.56269 0.657391
4.41883 -2.33965 0 7.5377 -7.53591 0.164451
4.49014 -2.1997 0 7.44347 -7.43582 -0.337337
4.55702 -2.05757 0 7.31847 -7.26997 -0.841187
4.6194 -1.91342 0 7.17373 -7.04738 -1.34043
4.67722 -1.76737 0 7.02061 -6.77829 -1.82859
4.73043 -1.61959 0 6.87014 -6.47388 -2.29949
4.77897 -1.4702 0 6.73204 -6.14596 -2.74728
4.82279 -1.31937 0 6.6139 -5.80662 -3.16652
4.86185 -1.16723 0 6.52049 -5.46797 -3.5522
4.89611 -1.01394 0 6.45337 -5.14174 -3.8998
4.92555 -0.859646 0 6.41099 -4.83901 -4.20532
4.95012 -0.704506 0 6.38927 -4.5699 -4.46529
4.9698 -0.548672 0 6.38251 -4.34327 -4.67679
4.98459 -0.392295 0 6.38446 -4.16655 -4.83748
4.99445 -0.235532 0 6.38942 -4.04547 -4.9456
4.99938 -0.0785366 0 6.39306 -3.98393 -4.99995
