X Y Z F real imag
4.99938 0.0785366 0 4.9722 -4.83094 1.17677
4.99445 0.235532 0 4.98597 -4.82409 1.26018
4.98459 0.392295 0 5.01607 -4.80944 1.42488
4.9698 0.548672 0 5.06709 -4.78516 1.66664
4.95012 0.704506 0 5.14455 -4.74857 1.97926
4.92555 0.859646 0 5.25353 -4.69629 2.35467
4.89611 1.01394 0 5.39728 -4.62439 2.7831
4.86185 1.16723 0 5.57599 -4.52855 3.25329
4.82279 1.31937 0 5.78623 -4.40427 3.75272
4.77897 1.4702 0 6.02102 -4.24709 4.26789
4.73043 1.61959 0 6.27037 -4.05282 4.78458
4.67722 1.76737 0 6.52226 -3.81777 5.28815
4.6194 1.91342 0 6.7636 -3.53895 5.76387
4.55702 2.05757 0 6.98122 -3.21434 6.19721
4.49014 2.1997 0 7.16261 -2.84308 6.57418
4.41883 2.33965 0 7.29659 -2.42559 6.88162
4.34316 2.47729 0 7.37383 -1.9638 7.10752
4.2632 2.61249 0 7.38724 -1.4612 7.24128
4.17904 2.74511 0 7.33237 -0.922935 7.27405
4.09075 2.87503 0 7.20769 -0.355792 7.19891
3.99842 3.0021 0 7.01498 0.231803 7.01115
3.90215 3.12621 0 6.75961 0.8299 6.70847
3.80203 3.24724 0 6.45101 1.42718 6.29116
3.69816 3.36506 0 6.1031 2.01117 5.7622
3.59063 3.47956 0 5.73478 2.56855 5.1274
3.47956 3.59063 0 5.37026 3.08547 4.3954
3.36506 3.69816 0 5.03863 3.54797 3.57767
3.24724 3.80203 0 4.77182 3.94243 2.6884
3.12621 3.90215 0 4.59967 4.25607 1.74436
3.0021 3.99842 0 4.5423 4.47748 0.764613
2.87503 4.09075 0 4.60285 4.59711 -0.229789
2.74511 4.17904 0 4.76561 4.60779 -1.21627
2.61249 4.2632 0 5.00115 4.50524 -2.17124
2.47729 4.34316 0 5.27446 4.28843 -3.07072
2.33965 4.41883 0 5.55164 3.95989 -3.89101
2.1997 4.49014 0 5.80339 3.52596 -4.60943
2.05757 4.55702 0 6.00619 2.99681 -5.20514
1.91342 4.6194 0 6.14237 2.38635 -5.65986
1.76737 4.67722 0 6.19974 1.71199 -5.95868
1.61959 4.73043 0 6.17134 0.994189 -6.09073
1.4702 4.77897 0 6.0552 0.255867 -6.04979
1.31937 4.82279 0 5.8543 -0.478343 -5.83472
1.16723 4.86185 0 5.57671 -1.18297 -5.44979
1.01394 4.89611 0 5.23594 -1.83264 -4.90474
0.859646 4.92555 0 4.85165 -2.40313 -4.21467
0.704506 4.95012 0 4.45063 -2.87233 -3.39968
0.548672 4.9698 0 4.06794 -3.22122 -2.48433
0.392295 4.98459 0 3.74673 -3.43475 -1.49683
0.235532 4.99445 0 3.53363 -3.50249 -0.468103
0.0785366 4.99938 0 3.46627 -3.4192 0.569283
-0.0785366 4.99938 0 3.55652 -3.18513 1.58234
-0.235532 4.99445 0 3.78412 -2.80604 2.53884
-0.392295 4.98459 0 4.10805 -2.29303 3.40854
-0.548672 4.9698 0 4.48374 -1.66213 4.16428
-0.704506 4.95012 0 4.87325 -0.933645 4.78298
-0.859646 4.92555 0 5.24808 -0.131323 5.24644
-1.01394 4.89611 0 5.58831 0.718612 5.54192
-1.16723 4.86185 0 5.8811 1.58852 5.6625
-1.31937 4.82279 0 6.11924 2.45043 5.60719
-1.4702 4.77897 0 6.30013 3.27712 5.38072
-1.61959 4.73043 0 6.42489 4.04314 4.99322
-1.76737 4.67722 0 6.49767 4.72566 4.45958
-1.91342 4.6194 0 6.52501 5.30523 3.79873
-2.05757 4.55702 0 6.5152 5.76632 3.03272
-2.1997 4.49014 0 6.47762 6.0977 2.18579
-2.33965 4.41883 0 6.42206 6.29252 1.28339
-2.47729 4.34316 0 6.35808 6.34837 0.351174
-2.61249 4.2632 0 6.2943 6.26698 -0.585831
-2.74511 4.17904 0 6.23794 6.05389 -1.50408
-2.87503 4.09075 0 6.19434 5.71796 -2.38218
-3.0021 3.99842 0 6.16687 5.27079 -3.20141
-3.12621 3.90215 0 6.1569 4.72607 -3.9461
-3.24724 3.80203 0 6.16419 4.09897 -4.60388
-3.36506 3.69816 0 6.18728 3.40546 -5.16577
-3.47956 3.59063 0 6.224 2.66178 -5.62612
-3.59063 3.47956 0 6.27201 1.8838 -5.98243
-3.69816 3.36506 0 6.32913 1.08669 -6.23514
-3.80203 3.24724 0 6.39361 0.284431 -6.38728
-3.90215 3.12621 0 6.46428 -0.510397 -6.4441
-3.99842 3.0021 0 6.5405 -1.28683 -6.41266
