X Y Z abs real imag
-10 -10 0 4.96725 -4.12605 2.76574
-10 -9 0 4.90898 -4.10369 2.69404
-10 -8 0 4.90459 -4.14227 2.62614
-10 -7 0 4.95779 -4.21854 2.60455
-10 -6 0 5.03577 -4.28826 2.64004
-10 -5 0 5.09686 -4.31649 2.71034
-10 -4 0 5.11698 -4.29581 2.7802
-10 -3 0 5.0978 -4.24362 2.82476
-10 -2 0 5.05889 -4.1863 2.84029
-10 -1 0 5.024 -4.14486 2.83914
-10 1 0 5.024 -4.14486 2.83914
-10 2 0 5.05889 -4.1863 2.84029
-10 3 0 5.0978 -4.24362 2.82476
-10 4 0 5.11698 -4.29581 2.7802
-10 5 0 5.09686 -4.31649 2.71034
-10 6 0 5.03577 -4.28826 2.64004
-10 7 0 4.95779 -4.21854 2.60455
-10 8 0 4.90459 -4.14227 2.62614
-10 9 0 4.90898 -4.10369 2.69404
-10 10 0 4.96725 -4.12605 2.76574
-9 -10 0 4.91556 -4.4674 -2.05063
-9 -9 0 4.96897 -4.48653 -2.13583
-9 -8 0 5.06155 -4.56859 -2.17884
-9 -7 0 5.13053 -4.65979 -2.1468
-9 -6 0 5.13317 -4.70238 -2.0584
-9 -5 0 5.06962 -4.67304 -1.96564
-9 -4 0 4.97511 -4.59156 -1.91554
-9 -3 0 4.89259 -4.49915 -1.92225
-9 -2 0 4.84539 -4.42866 -1.96588
-9 -1 0 4.82921 -4.39034 -2.01151
-9 1 0 4.82921 -4.39034 -2.01151
-9 2 0 4.84539 -4.42866 -1.96588
-9 3 0 4.89259 -4.49915 -1.92225
-9 4 0 4.97511 -4.59156 -1.91554
-9 5 0 5.06962 -4.67304 -1.96564
-9 6 0 5.13317 -4.70238 -2.0584
-9 7 0 5.13053 -4.65979 -2.1468
-9 8 0 5.06155 -4.56859 -2.17884
-9 9 0 4.96897 -4.48653 -2.13583
-9 10 0 4.91556 -4.4674 -2.05063
-8 -10 0 5.01317 -0.633189 -4.97303
-8 -9 0 5.10002 -0.697297 -5.05213
-8 -8 0 5.11295 -0.806899 -5.04888
-8 -7 0 5.03419 -0.880173 -4.95665
-8 -6 0 4.91039 -0.861015 -4.83432
-8 -5 0 4.82056 -0.757713 -4.76064
-8 -4 0 4.82011 -0.630317 -4.77872
-8 -3 0 4.90332 -0.541778 -4.8733
-8 -2 0 5.01813 -0.51471 -4.99166
-8 -1 0 5.10902 -0.525784 -5.08189
-8 1 0 5.10902 -0.525784 -5.08189
-8 2 0 5.01813 -0.51471 -4.99166
-8 3 0 4.90332 -0.541778 -4.8733
-8 4 0 4.82011 -0.630317 -4.77872
-8 5 0 4.82056 -0.757713 -4.76064
-8 6 0 4.91039 -0.861015 -4.83432
-8 7 0 5.03419 -0.880173 -4.95665
-8 8 0 5.11295 -0.806899 -5.04888
